bank,card,activated,cashbackAmount,cashbackFixed,category,description,estValue,expiration,id,lastUpdated,logo,maxRedemptions,merchantName,merchantWebsite,minSpend,redeemLink,redeemed,type,attemptedRedeem,cashbackPercent,maxCashback,redeemLocation,redeemLocationLat,redeemLocationLon,cashbackPoints
American Express,AMEX Business Credit Card,TRUE,"Spend $75 or more, earn $25 back, up to 2 times (total of $50).",25,Food / Dining,"<section class=""offer-details display-block pad offer-details-v"" id=""details-XBX$e<:y_""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn a $25 statement credit after using your enrolled eligible Card to make a single purchase of $75 or more online at <a href=""http://wineaccess.com/amex"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">wineaccess.com/amex</a> by 9/1/2025. Limit of 2 statement credits (total of $50). See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p><p> Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Cards are eligible.</p><p>Limit of 2 statement credits (total of $50 back) per eligible Card Member. If the Card Account is canceled or past due, it may not qualify to receive the statement credits.</p><p><strong>Qualifying Purchases</strong></p><p>Offer valid online only at US website <a href=""https://wineaccess.com/amex"" class=""linkified"" target=""_blank"">wineaccess.com/amex</a>. Excludes purchases made through corporate or business credit card payments. Not valid on purchases shipped outside of the US. See merchant website for shipping policy. Some merchants may not ship to all areas. Please note if you purchase a subscription, unless you notify the merchant that you want to pause, cancel, or that you do not want to auto renew, your subscription will automatically renew for another subscription period (subject to applicable law) of equal length (for example monthly, or annually). This means that the merchant will collect the then-applicable subscription fee and any taxes by charging a credit card the merchant has on record for you without notifying you, unless notification is required by applicable law. Must be 21 years or older to consume alcohol. Please drink responsibly.  Offer valid only on purchases made in US dollars.</p><p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p><p><strong>Statement Credit</strong></p><p>Please allow 90-days after 9/1/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p><p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p><p>POID: K9ZF:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",0,9/1/25,offer-XBX$e<:y_,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001OygBdEAJ,2,WineAccess.com,https://wineaccess.com/amex,$75 ,,FALSE,cashback,,,,,,,
American Express,AMEX Business Credit Card,TRUE,"Spend $500 or more, earn $100 back. Enroll by 7/31/25",100,Travel / Lodging,"<section class=""offer-details display-block pad offer-details-v"" id=""details-en'g.""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-6"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Enroll by 7/31/25. Earn a one-time $100 statement credit after using your enrolled&nbsp;eligible Card to spend a minimum of $500 or more in one or more purchases on room rate/room charges at&nbsp;Margaritaville Beach House Key West from 5/1/2025 to 9/30/2025. Book at&nbsp;<a href=""http://margaritavilleresorts.com/margaritaville-beach-house-key-west"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">margaritavilleresorts.com/margaritaville-beach-house-key-west</a>. See terms</span></p></div></section><section class=""col-md-6 col-xs-12"" id=""offer-en'g.-additionalDetails""><section class=""pad-lr border-sm-t pad-t-sm-down margin-t-sm-down""><a href=""https://www.margaritavilleresorts.com/margaritaville-beach-house-key-west"" class=""margin-1-t display-block body-2-v css-mr20zp"" aria-label="" Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"" title=""View Merchant Website"" tabindex=""0""><span><span>View Merchant Website</span></span></a></section></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p>  <p>Enrollment is limited. Eligible Card Members must first add offer to Card by 7/31/25 and then use same Card&nbsp;to redeem by 9/30/2025 for qualifying spend.&nbsp;Only US-issued American Express® Cards are eligible.</p>  <p>Limit of 1 statement credit per eligible Card Member account. If the Card Account is canceled or past due, it may not qualify to receive a statement credit.</p>  <p><strong>Qualifying Purchases</strong></p>  <p>Offer valid only at Margaritaville Beach House Key West in the US. Reservations must be made online at US website <a href=""https://margaritavilleresorts.com/margaritaville-beach-house-key-west"" class=""linkified"" target=""_blank"">margaritavilleresorts.com/margaritaville-beach-house-key-west</a> or in-person. Excludes weddings, meetings, and event venues. Offer only valid on room rate and room charges. Offer not valid for lodging stays that are paid for before the promotion start date or after the promotion end date. Offer valid only on purchases made in US dollars.</p>  <p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p>  <p><strong>Statement Credit</strong></p>  <p>Please allow 90-days after 9/30/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p>  <p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p>  <p>POID: K9R5:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",0,7/31/25,offer-en'g.,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001kZSEiEAO,,Margaritaville Beach House Key West,https://margaritavilleresorts.com/margaritaville-beach-house-key-west,$500 ,,FALSE,cashback,,,,,,,
American Express,AMEX Business Credit Card,TRUE,"Spend $75 or more, earn $30 back, up to 2 times (total of $60).",30,Food / Dining,"<section class=""offer-details display-block pad offer-details-v"" id=""details-9Zs<&amp;(wWv""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn a $30 statement credit after using your enrolled eligible Card to make a single purchase of $75 or more online at <a href=""http://scoutandcellar.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">scoutandcellar.com</a> by 9/1/2025. Limit of 2 statement credits (total of $60). See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p><p> Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Cards are eligible.</p><p>Limit of 2 statement credits (total of $60 back) per eligible Card Member. If the Card Account is canceled or past due, it may not qualify to receive the statement credits.</p><p><strong>Qualifying Purchases</strong></p><p>Offer valid online only at US website <a href=""https://scoutandcellar.com"" class=""linkified"" target=""_blank"">scoutandcellar.com</a>. See merchant website for delivery availability in your market. Must be 21 years or older to consume alcohol. Please drink responsibly.  Offer valid only on purchases made in US dollars.</p><p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p><p><strong>Statement Credit</strong></p><p>Please allow 90-days after 9/1/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p><p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p><p>POID: K9YV:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",0,9/1/25,offer-9Zs<&(wWv,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7t8mEAA,2,Scout & Cellar - Curated Wine & Coffee,https://scoutandcellar.com,$75 ,,FALSE,cashback,TRUE,,,,,,
American Express,AMEX Business Credit Card,TRUE,"Spend $500 or more, earn $100 back. Enroll by 7/31/2025",100,Travel / Lodging,"<section class=""offer-details display-block pad offer-details-v"" id=""details-3#V+[""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-6"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Enroll by 7/31/2025. Earn a one-time $100 statement credit after using your enrolled eligible Card to spend a minimum of $500 in one or more purchases on room rate and room charges at participating Opal Collection properties in Florida from 5/1/2025 to 9/30/2025. Book at <a href=""http://opalcollection.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">opalcollection.com</a>. See terms.</span></p></div></section><section class=""col-md-6 col-xs-12"" id=""offer-3#V+[-additionalDetails""><section class=""pad-lr border-sm-t pad-t-sm-down margin-t-sm-down""><a href=""http://www.opalcollection.com/hotels-resorts/"" class=""margin-1-t display-block body-2-v css-mr20zp"" aria-label="" Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"" title=""View Merchant Website"" tabindex=""0""><span><span>View Merchant Website</span></span></a></section></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p>  <p> Eligible Card Members must first add offer to Card by 7/31/2025 and then use same Card to redeem by 9/30/2025 for qualifying spend. Only US-issued American Express® Cards are eligible.</p>  <p>Limit of 1 statement credit per eligible Card Member account. If the Card Account is canceled or past due, it may not qualify to receive a statement credit.</p>  <p><strong>Qualifying Purchases</strong></p>  <p>Offer valid at the following Opal Collection Hotels &amp; Resorts in Florida: Hutchinson Shores Resort &amp; Spa, Zota Beach Resort, Edgewater Beach Hotel, Reefhouse Resort &amp; Marina, The Resort at Longboat Key Club, Sunset Key Cottages, Jupiter Beach Resort &amp; Spa, Opal Sol, and Opal Grand Oceanfront Resort &amp; Spa. Bookings must be made directly online at <a href=""https://opalcollection.com"" class=""linkified"" target=""_blank"">opalcollection.com</a> or by calling 866-258-7247. Excludes all other Opal properties. Not valid on gift cards purchased online. Excludes reservations made through travel agents or other third party booking sites. Offer only valid on room rate and room charges. Offer not valid for lodging stays that are paid for before the promotion start date or after the promotion end date. Offer valid only on purchases made in US dollars.</p>  <p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p>  <p><strong>Statement Credit</strong></p>  <p>Please allow 90-days after 9/30/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p>  <p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p>  <p>POID: K9Z2:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",0,7/31/25,offer-3#V+[,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l83UhEAI,,Opal Collection - Select Florida Locations,https://opalcollection.com,$500 ,,FALSE,cashback,,,,,,,
American Express,AMEX Business Credit Card,TRUE,"Earn 4% back on purchases, up to a total of $250",250,Retail,"<section class=""offer-details display-block pad offer-details-v"" id=""details-> deq3at`""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn 4% back as a statement credit after using your enrolled eligible Card to make purchases online at <a href=""http://ticketsmarter.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">ticketsmarter.com</a> by 6/30/2025. Limit of $250 back in total statement credits. See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p><p>Enrollment is limited. Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Cards are eligible.</p><p>Limit of $250 in total statement credits per eligible Card Member. If the Card Account is canceled or past due, it may not qualify to receive the statement credits.</p><p><strong>Qualifying Purchases</strong></p><p>  Offer valid online only at <a href=""https://ticketsmarter.com"" class=""linkified"" target=""_blank"">ticketsmarter.com</a>. Valid only on the US version of the merchant’s website. Not valid on orders shipped outside of the US. Excludes purchases of gift cards and electronic gift cards. Not valid on wholesale purchases and purchases made with authorized resellers. Offers may be discontinued or modified by Amex at our discretion.   Offer valid only on purchases made in US dollars.</p><p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p><p><strong>Statement Credit</strong></p><p>Please allow 90-days after 6/30/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p><p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p><p>POID: K3CY:1357</p></div><p></p></section><hr class=""card-separator""></div></div></section>",12,6/30/25,offer-> deq3at`,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00PKi000003DzVWMA0,,ticketsmarter.com,https://ticketsmarter.com,,,FALSE,cashback,,4,$250 ,,,,
American Express,AMEX Business Credit Card,TRUE,"Earn 6% back on purchases, up to a total of $250",250,Retail,"<section class=""offer-details display-block pad offer-details-v"" id=""details-Ur3abHcS+""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn 6% back as a statement credit after using your enrolled eligible Card to make purchases online at <a href=""http://eventticketscenter.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">eventticketscenter.com</a> by 6/30/2025. Limit of $250 back in total statement credits. See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p><p>Enrollment is limited. Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Cards are eligible.</p><p>Limit of $250 in total statement credits per eligible Card Member. If the Card Account is canceled or past due, it may not qualify to receive the statement credits.</p><p><strong>Qualifying Purchases</strong></p><p>  Offer valid online only at <a href=""https://eventticketscenter.com"" class=""linkified"" target=""_blank"">eventticketscenter.com</a>. Valid only on the US version of the merchant’s website. Not valid on orders shipped outside of the US. Excludes purchases of gift cards and electronic gift cards. Not valid on wholesale purchases and purchases made with authorized resellers. Offers may be discontinued or modified by Amex at our discretion.   Offer valid only on purchases made in US dollars.</p><p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p><p><strong>Statement Credit</strong></p><p>Please allow 90-days after 6/30/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p><p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p><p>POID: K3CY:1374</p></div><p></p></section><hr class=""card-separator""></div></div></section>",18,6/30/25,offer-Ur3abHcS+,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00PKi000003DzX7MAK,,eventticketscenter.com,https://eventticketscenter.com,,,FALSE,cashback,,6,$250 ,,,,
American Express,AMEX Business Credit Card,TRUE,"Spend $75 or more, earn $15 back",15,Retail,"<section class=""offer-details display-block pad offer-details-v"" id=""details-weJx!""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn a one-time $15 statement credit after using your enrolled eligible Card to spend a minimum of $75 in one or more purchases online at <a href=""http://aveda.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">aveda.com</a> by 5/2/2025. See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p><p>Enrollment is limited. Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Cards are eligible.</p><p>Limit of 1 statement credit per eligible Card Member account. If the Card Account is canceled or past due, it may not qualify to receive a statement credit.</p><p><strong>Qualifying Purchases</strong></p><p>Offer valid online only at US website <a href=""https://aveda.com"" class=""linkified"" target=""_blank"">aveda.com</a>. Not valid on purchases shipped outside of the US. See merchant website for shipping policy. Some merchants may not ship to all areas. Excludes authorized retailers. Not valid for e-gift card purchases.  Offer valid only on purchases made in US dollars.</p><p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p><p><strong>Statement Credit</strong></p><p>Please allow 90-days after 5/2/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p><p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p><p>POID: K9VB:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",15,5/2/25,offer-weJx!,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b000017DR9jEAG,,Aveda.com - Vegan Haircare,https://aveda.com,$75 ,,FALSE,cashback,,,,,,,
American Express,AMEX Business Credit Card,TRUE,"Spend $50 or more, earn $20 back",20,Retail,"<section class=""offer-details display-block pad offer-details-v"" id=""details-Wi9o&amp;t""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn a one-time $20 statement credit after using your enrolled eligible Card to spend a minimum of $50 in one or more purchases in-store at Melin or online at <a href=""http://melin.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">melin.com</a> by 5/2/2025. See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p><p>Enrollment is limited. Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Cards are eligible.</p><p>Limit of 1 statement credit per eligible Card Member account. If the Card Account is canceled or past due, it may not qualify to receive a statement credit.</p><p><strong>Qualifying Purchases</strong></p><p>Offer valid in-store and online at US website <a href=""https://melin.com"" class=""linkified"" target=""_blank"">melin.com</a>. See merchant website for shipping policy. Some merchants may not ship to all areas. Excludes authorized retailers and resellers.  Offer valid only on purchases made in US dollars.</p><p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p><p><strong>Statement Credit</strong></p><p>Please allow 90-days after 5/2/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p><p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p><p>POID: K9NH:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",20,5/2/25,offer-Wi9o&t,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7OMyEAM,,Melin - Performance Headwear,https://melin.com,$50 ,,FALSE,cashback,,,,,,,
American Express,AMEX Business Credit Card,TRUE,"Spend $200 or more, earn $60 back",60,Entertainment,"<section class=""offer-details display-block pad offer-details-v"" id=""details-N#:rv""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn a one-time $60 statement credit after using your enrolled eligible Card to spend a minimum of $200 in one or more purchases in-store at Frog's Leap Winery or online at <a href=""http://frogsleap.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">frogsleap.com</a> by 5/4/2025. See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p><p> Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Cards are eligible.</p><p>Limit of 1 statement credit per eligible Card Member account. If the Card Account is canceled or past due, it may not qualify to receive a statement credit.</p><p><strong>Qualifying Purchases</strong></p><p>Offer valid in-store and online only at US website <a href=""https://frogsleap.com"" class=""linkified"" target=""_blank"">frogsleap.com</a>. Excludes tours, tastings, and events booked online. See merchant website for shipping policy. Some merchants may not ship to all areas. Must be 21 years or older to consume alcohol. Please drink responsibly.  Offer valid only on purchases made in US dollars.</p><p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p><p><strong>Statement Credit</strong></p><p>Please allow 90-days after 5/4/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p><p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p><p>POID: K9HB:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",0,5/4/25,offer-N#:rv,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7wtIEAQ,,Frog's Leap Winery,https://frogsleap.com,$200 ,,FALSE,cashback,,,,,,,
American Express,AMEX Business Credit Card,TRUE,"Spend $399 or more, earn $100 back",100,Other,"<section class=""offer-details display-block pad offer-details-v"" id=""details-NhRC!~""><div class=""dls-gray-01-bg rounded-sm overflow-hidden border""><div><section class=""row pad-tb""><section class=""col-xs-12 col-md-10"" id=""detailsContainer""><div class=""pad-lr""><h3 class=""pad-1-b legal-2-v""><span>Details</span></h3><p class=""_lsmSection_c99ob_5 body-1-v""><span class=""Linkify"">Earn a one-time $100 statement credit after using your enrolled eligible Business Card to spend a minimum of $399 in one or more purchases online at <a href=""http://trustandwill.com"" aria-label=""Select to open Merchant Website to a new Window"" target=""_blank"" rel=""noopener noreferrer"">trustandwill.com</a> by 5/4/2025. See terms.</span></p></div></section></section></div><div><hr class=""card-separator""><section class=""dls-gray-01-bg pad-responsive ""><h3 class=""legal-2-v""><span>Offer Terms</span></h3><p class=""no-margin-bottom _lsmSection_c99ob_5""></p><div><p><strong>Eligibility and Enrollment</strong></p>  <p>Enrollment is limited. Eligible Card Members must first add offer to Card and then use same Card for qualifying spend. Only US-issued American Express® Business Cards are eligible.</p>  <p>Limit of 1 statement credit per eligible Card Member account. If the Card Account is canceled or past due, it may not qualify to receive a statement credit.</p>  <p><strong>Qualifying Purchases</strong></p>  <p>Offer valid online only at US website <a href=""https://trustandwill.com"" class=""linkified"" target=""_blank"">trustandwill.com</a>. Please note if you purchase a membership, unless you notify the merchant that you want to pause, cancel, or that you do not want to auto renew, your membership will automatically renew for another membership period (subject to applicable law) of equal length (for example monthly, or annually). This means that the merchant will collect the then-applicable membership fee and any taxes by charging a credit card the merchant has on record for you without notifying you, unless notification is required by applicable law.  Offer valid only on purchases made in US dollars.</p>  <p>Offer only valid on purchases made directly with the merchant. Offer not valid on purchases made using third parties, such as resellers, delivery services, or other intermediaries.</p>  <p><strong>Statement Credit</strong></p>  <p>Please allow 90-days after 5/4/2025 for the statement credit(s) to be posted to the Account, provided that American Express receives information from the merchant about your qualifying purchase.</p>  <p>Participation in Amex Offers is subject to <a href=""https://www.americanexpress.com/en-us/benefits/offers/partner-terms/"" target=""_blank""> Amex Offers Program Terms.</a></p>  <p>POID: K8ZK:0001</p></div><p></p></section><hr class=""card-separator""></div></div></section>",0,5/4/25,offer-NhRC!~,1.74676E+12,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ffMEAQ,,Trust & Will - Estate Planning,https://trustandwill.com,$399 ,,FALSE,cashback,,,,,,,
